Xbox Game Title	Title ID (Hex)	Title	XDK version
Harry Potter and the Sorcerer's Stone	45410037	Harry Potter: SS	5659
Harry Potter: Quidditch World Cup	4541003D	Quidditch World Cup	5659
Headhunter: Redemption	53450025	Redemption	5849
Hello Kitty Roller Rescue	58500004	Hello Kitty Roller Rescue	5849
Hermann Maier Ski Racing 2005	4A570005	Ski Racing 2005	5849
Heroes of the Pacific	45430004	Heroes of the Pacific	5849
High Heat Baseball 2004	54440006	High Heat MLB 2004	5233
High Rollers Casino	4253000F	High Rollers Casino	5849
Hitman - Silent Assassin (NTSC-J)	45530009	Hitman: Silent Assassin	5233
Hitman 2: Silent Assassin	45530009	Hitman2: Silent Assassin	4531
Hitman: Blood Money	534300FA	Hitman Blood Money	5849
Hitman: Contracts	45530012	Hitman Contracts	5849
Hot Wheels: Stunt Track Challenge	54510089	Hot Wheels Stunt Track Challenge	5849
House of the Dead 2	53450008	House of the Dead 2	4831
House of the Dead 3	53450008	House of the Dead 3	4831
HUMMER Badlands	5454009C	Hummer	5849
Hunter: The Reckoning	56550007	Hunter: The Reckoning	4361
Hunter: The Reckoning Redeemer	5655002D	Hunter: Redeemer	5558
Ice Age 2: The Meltdown Video Game	5655004B	Ice Age 2 The Meltdown	5849
IHRA Drag Racing 2004	42530006	IHRA	5558
IHRA Drag Racing Sportsman Edition	42530011	IHRA Sportsman	5849
IHRA Professional Drag Racing 2005	4253000C	IHRA Pro 2005	5849
Indiana Jones: Emperor's Tomb	4C410007	Indiana Jones	5120
Indigo Prophecy	4947007B	Indigo Prophecy	5849
IndyCar Series	434D0006	INDYCAR™ SERIES	5455
IndyCar Series 2005	434D0024	IndyCar® Series 2005	5849
I-Ninja	4E4D000F	I-Ninja	5659
Innocent Tears	4B550001	Innocent Tears	4627
Inside Pitch 2003	4D530034	Inside Pitch 2003	5344
Intellivision Lives!	43560006	Intellivision Lives!	5659
International Superstar Soccer2	4B4E0008	International Superstar Soccer2	4361
Iron Phoenix	53410003	Iron Phoenix	5849
Jacked	454D001E	Jacked	5849
Jade Empire	4D53006D	Jade Empire	5849
JAWS Unleashed	4D4A000F	JAWS Unleashed	5849
Jet Set Radio Future	5345000A	Jet Set Radio Future	4134
Jikkyou World Soccer 2002	4B410001	World Soccer 2002	4134
Jockey's Road	4D530030	Jockey'sRoad	4531
Judge Dredd: Dredd vs Death	58490007	Dredd vs Death	5849
Juiced	545100EF	Juiced	5849
Jurassic Park: Operation Genesis	5656000A	Jurassic Park: Operation Genesis	5233
Just Cause	534300FB	Just Cause	5849
Justice League Heroes	57520001	Justice League Heroes	5849
Kabuki Warriors	43560001	Kabuki Warriors	3925
Kakuto Chojin	4D53000C	Kakuto Chojin	4928
Kameo: Elements of Power	4D530050	Kameo	
Kao the Kangaroo 2	4A570003	Kao the Kangaroo 2	5849
Karaoke Revolution	4B4E0025	Karaoke Revolution	5849
Karaoke Revolution Party	4B4E002E	Karaoke Revolution Party	5849
Kelly Slater's Pro Surfer	41560002	Kelly Slater's Pro Surfer	4627
Kikou Heidan J-Phoenix Plus	54410001	J Phoenix+	4134
kill.switch	4E4D000B	kill.switch	5558
King Arthur	4B4E0024	King Arthur	5849
King Of Fighters 2002	534E0006	THE KING OF FIGHTERS 2002	5849
King Of Fighters 2003	534E0003	THE KING OF FIGHTERS 2003	5849
King of Fighters: Maximum Impact - Maniax	534E0007	KOF MAXIMUM IMPACT MANIAX	5849
Kingdom Under Fire: Heroes	504C0006	Kingdom Under Fire: Heroes	5849
Kingdom Under Fire: The Crusaders	504C0004	Kingdom Under Fire  The Crusaders	5849
Knight's Apprentice: Memorick's Adventures (PAL)	4D490004	Memorick	5659
Knights of the Temple	544D0007	Knights of the Temple	5788
Knights of the Temple 2	544D0013	KOTT2	5849
Knockout Kings 2002	4541000A	Knockout Kings 2002	4039
Kung Fu Chaos	4D530031	Kung Fu Chaos	5120
L.A. Rush	4D570025	LA Rush	5849
Lake masters	4343000B	LAKEMASTERS	5455
Land of the Dead: Road to Fiddler's Green	47560004	Land of the Dead	5849
Largo Winch	5553000B	LARGO WINCH	4627
Le Tour De France	4B4E000F	TOUR DE FRANCE	4432
Legacy of Kain: Defiance	4553000F	LoK: Defiance	5659
Legends of Wrestling	41430003	Legends of Wrestling	4242
Legends of Wrestling II	4143000F	Legends of Wrestling 2	4831
LEGO Star Wars	4553001D	Lego Star Wars	5849
LEGO Star Wars II: The Original Trilogy	4C41001F	LEGO Star Wars II	5849
Leisure Suit Larry: Magna Cum Laude	56550031	Leisure Suit Larry: MCL	5849
Lemony Snicket's A Series of Unfortunate Events	4156001F	Lemony Snicket's Series	5849
Links 2004	4D53005D	Links 2004 	5558
LMA Manager 2003	434D0004	LMA Manager 2003	4721
LMA Manager 2004	434D000F	LMA Manager 2004	5659
LMA Manager 2005	434D0046	LMA Manager 2005	5849
LMA Manager 2006	434D0054	LMA Manager 2006	5849
Loons: The Fight For Fame	49470006	Loons - The Fight For Fame	4531
Lord of the Rings: Fellowship of the Ring	56550004	The Fellowship of the Ring	4831
Lord of the Rings: The Third Age	4541005F	LOTR3	5849
Lord of the Rings: Two Towers (NTSC)	45410010	The Two Towers(tm)	4928
Lord of the Rings: Two Towers (PAL)	45410010	The Two Towers(tm)	5120
LotR: The Return of the King	4541003E	The Return of the King™	5558
Lotus Challenge	58490005	Lotus Challenge	4928
